memory_id,memory_type,subject_type,subject_id,content,source_type,source_id,confidence,effective_date,expiration_date,status
MEM_A001,SEMANTIC,ADVISOR,A001,Advisor responds best to household-specific actions tied to measurable CRM and revenue impact.,FEEDBACK_HISTORY,REC_A001,0.82,2026-06-01,2027-07-01,ACTIVE
MEM_A002,EPISODIC,ADVISOR,A002,Advisor responds best to household-specific actions tied to measurable CRM and revenue impact.,FEEDBACK_HISTORY,REC_A002,0.82,2026-06-01,2027-07-01,ACTIVE
MEM_A003,PREFERENCE,ADVISOR,A003,Advisor responds best to household-specific actions tied to measurable CRM and revenue impact.,FEEDBACK_HISTORY,REC_A003,0.82,2026-06-01,2027-07-01,ACTIVE
MEM_A004,OUTCOME,ADVISOR,A004,Advisor responds best to household-specific actions tied to measurable CRM and revenue impact.,FEEDBACK_HISTORY,REC_A004,0.82,2026-06-01,2027-07-01,ACTIVE
MEM_A005,REASONING,ADVISOR,A005,Advisor responds best to household-specific actions tied to measurable CRM and revenue impact.,FEEDBACK_HISTORY,REC_A005,0.82,2026-06-01,2027-07-01,ACTIVE
MEM_A006,SEMANTIC,ADVISOR,A006,Advisor responds best to household-specific actions tied to measurable CRM and revenue impact.,FEEDBACK_HISTORY,REC_A006,0.82,2026-06-01,2027-07-01,ACTIVE
MEM_A007,EPISODIC,ADVISOR,A007,Advisor responds best to household-specific actions tied to measurable CRM and revenue impact.,FEEDBACK_HISTORY,REC_A007,0.82,2026-06-01,2027-07-01,ACTIVE
MEM_A008,PREFERENCE,ADVISOR,A008,Advisor responds best to household-specific actions tied to measurable CRM and revenue impact.,FEEDBACK_HISTORY,REC_A008,0.82,2026-06-01,2027-07-01,ACTIVE
MEM_A009,OUTCOME,ADVISOR,A009,Advisor responds best to household-specific actions tied to measurable CRM and revenue impact.,FEEDBACK_HISTORY,REC_A009,0.82,2026-06-01,2027-07-01,ACTIVE
MEM_A010,REASONING,ADVISOR,A010,Advisor responds best to household-specific actions tied to measurable CRM and revenue impact.,FEEDBACK_HISTORY,REC_A010,0.82,2026-06-01,2027-07-01,ACTIVE
