recommendation_id,recommendation_type,title,action_text,priority_score,severity,confidence,estimated_revenue_impact,impact_summary,status,due_date,generated_at
REC_A001,NEXT_BEST_ACTION,Prioritize high-value CRM follow-up,"Review pending leads and referrals, advance the highest-value CRM opportunity, and schedule a coaching check-in.",90,CRITICAL,0.76,60425.0,Improves milestone attainment and protects revenue pipeline.,ACCEPTED,2026-07-09,2026-07-01
REC_A002,NEXT_BEST_ACTION,Prioritize high-value CRM follow-up,"Review pending leads and referrals, advance the highest-value CRM opportunity, and schedule a coaching check-in.",91,CRITICAL,0.77,69070.0,Improves milestone attainment and protects revenue pipeline.,IN_PROGRESS,2026-07-10,2026-07-01
REC_A003,NEXT_BEST_ACTION,Prioritize high-value CRM follow-up,"Review pending leads and referrals, advance the highest-value CRM opportunity, and schedule a coaching check-in.",92,CRITICAL,0.78,49715.0,Improves milestone attainment and protects revenue pipeline.,COMPLETED,2026-07-11,2026-07-01
REC_A004,NEXT_BEST_ACTION,Prioritize high-value CRM follow-up,"Review pending leads and referrals, advance the highest-value CRM opportunity, and schedule a coaching check-in.",93,CRITICAL,0.79,58360.0,Improves milestone attainment and protects revenue pipeline.,REJECTED,2026-07-12,2026-07-01
REC_A005,NEXT_BEST_ACTION,Prioritize high-value CRM follow-up,"Review pending leads and referrals, advance the highest-value CRM opportunity, and schedule a coaching check-in.",68.4,ATTENTION,0.8,67005.0,Improves milestone attainment and protects revenue pipeline.,PRESENTED,2026-07-13,2026-07-01
REC_A006,NEXT_BEST_ACTION,Prioritize high-value CRM follow-up,"Review pending leads and referrals, advance the highest-value CRM opportunity, and schedule a coaching check-in.",40.0,ATTENTION,0.81,47650.0,Improves milestone attainment and protects revenue pipeline.,ACCEPTED,2026-07-14,2026-07-01
REC_A007,NEXT_BEST_ACTION,Prioritize high-value CRM follow-up,"Review pending leads and referrals, advance the highest-value CRM opportunity, and schedule a coaching check-in.",51.6,ATTENTION,0.82,56295.0,Improves milestone attainment and protects revenue pipeline.,IN_PROGRESS,2026-07-15,2026-07-01
REC_A008,NEXT_BEST_ACTION,Prioritize high-value CRM follow-up,"Review pending leads and referrals, advance the highest-value CRM opportunity, and schedule a coaching check-in.",53.2,ATTENTION,0.83,57940.0,Improves milestone attainment and protects revenue pipeline.,COMPLETED,2026-07-16,2026-07-01
REC_A009,NEXT_BEST_ACTION,Prioritize high-value CRM follow-up,"Review pending leads and referrals, advance the highest-value CRM opportunity, and schedule a coaching check-in.",64.8,ATTENTION,0.84,66585.0,Improves milestone attainment and protects revenue pipeline.,REJECTED,2026-07-17,2026-07-01
REC_A010,NEXT_BEST_ACTION,Prioritize high-value CRM follow-up,"Review pending leads and referrals, advance the highest-value CRM opportunity, and schedule a coaching check-in.",76.4,URGENT,0.85,75230.0,Improves milestone attainment and protects revenue pipeline.,PRESENTED,2026-07-18,2026-07-01
REC_A011,NEXT_BEST_ACTION,Prioritize high-value CRM follow-up,"Review pending leads and referrals, advance the highest-value CRM opportunity, and schedule a coaching check-in.",48.0,ATTENTION,0.86,55875.0,Improves milestone attainment and protects revenue pipeline.,ACCEPTED,2026-07-19,2026-07-01
REC_A012,NEXT_BEST_ACTION,Prioritize high-value CRM follow-up,"Review pending leads and referrals, advance the highest-value CRM opportunity, and schedule a coaching check-in.",59.6,ATTENTION,0.75,64520.0,Improves milestone attainment and protects revenue pipeline.,IN_PROGRESS,2026-07-20,2026-07-01
REC_A013,NEXT_BEST_ACTION,Prioritize high-value CRM follow-up,"Review pending leads and referrals, advance the highest-value CRM opportunity, and schedule a coaching check-in.",71.2,URGENT,0.76,73165.0,Improves milestone attainment and protects revenue pipeline.,COMPLETED,2026-07-21,2026-07-01
REC_A014,NEXT_BEST_ACTION,Prioritize high-value CRM follow-up,"Review pending leads and referrals, advance the highest-value CRM opportunity, and schedule a coaching check-in.",42.8,ATTENTION,0.77,53810.0,Improves milestone attainment and protects revenue pipeline.,REJECTED,2026-07-08,2026-07-01
REC_A015,NEXT_BEST_ACTION,Prioritize high-value CRM follow-up,"Review pending leads and referrals, advance the highest-value CRM opportunity, and schedule a coaching check-in.",84.4,URGENT,0.78,83455.0,Improves milestone attainment and protects revenue pipeline.,PRESENTED,2026-07-09,2026-07-01
REC_A016,NEXT_BEST_ACTION,Prioritize high-value CRM follow-up,"Review pending leads and referrals, advance the highest-value CRM opportunity, and schedule a coaching check-in.",56.0,ATTENTION,0.79,64100.0,Improves milestone attainment and protects revenue pipeline.,ACCEPTED,2026-07-10,2026-07-01
REC_A017,NEXT_BEST_ACTION,Prioritize high-value CRM follow-up,"Review pending leads and referrals, advance the highest-value CRM opportunity, and schedule a coaching check-in.",67.6,ATTENTION,0.8,72745.0,Improves milestone attainment and protects revenue pipeline.,IN_PROGRESS,2026-07-11,2026-07-01
REC_A018,NEXT_BEST_ACTION,Prioritize high-value CRM follow-up,"Review pending leads and referrals, advance the highest-value CRM opportunity, and schedule a coaching check-in.",79.2,URGENT,0.81,81390.0,Improves milestone attainment and protects revenue pipeline.,COMPLETED,2026-07-12,2026-07-01
REC_A019,NEXT_BEST_ACTION,Prioritize high-value CRM follow-up,"Review pending leads and referrals, advance the highest-value CRM opportunity, and schedule a coaching check-in.",50.8,ATTENTION,0.82,62035.0,Improves milestone attainment and protects revenue pipeline.,REJECTED,2026-07-13,2026-07-01
REC_A020,NEXT_BEST_ACTION,Prioritize high-value CRM follow-up,"Review pending leads and referrals, advance the highest-value CRM opportunity, and schedule a coaching check-in.",46.4,ATTENTION,0.83,59480.0,Improves milestone attainment and protects revenue pipeline.,PRESENTED,2026-07-14,2026-07-01
REC_A021,NEXT_BEST_ACTION,Prioritize high-value CRM follow-up,"Review pending leads and referrals, advance the highest-value CRM opportunity, and schedule a coaching check-in.",58.0,ATTENTION,0.84,68125.0,Improves milestone attainment and protects revenue pipeline.,ACCEPTED,2026-07-15,2026-07-01
REC_A022,NEXT_BEST_ACTION,Prioritize high-value CRM follow-up,"Review pending leads and referrals, advance the highest-value CRM opportunity, and schedule a coaching check-in.",59.6,ATTENTION,0.85,69770.0,Improves milestone attainment and protects revenue pipeline.,IN_PROGRESS,2026-07-16,2026-07-01
REC_A023,NEXT_BEST_ACTION,Prioritize high-value CRM follow-up,"Review pending leads and referrals, advance the highest-value CRM opportunity, and schedule a coaching check-in.",71.2,URGENT,0.86,78415.0,Improves milestone attainment and protects revenue pipeline.,COMPLETED,2026-07-17,2026-07-01
