from_id,to_id
REASON_A001,ACT00100
REASON_A002,ACT00101
REASON_A003,ACT00102
REASON_A004,ACT00103
REASON_A005,ACT00104
REASON_A006,ACT00200
REASON_A007,ACT00201
REASON_A008,ACT00202
REASON_A009,ACT00203
REASON_A010,ACT00204
REASON_A011,ACT00300
REASON_A012,ACT00301
REASON_A013,ACT00302
REASON_A014,ACT00303
REASON_A015,ACT00304
REASON_A016,ACT00400
REASON_A017,ACT00401
REASON_A018,ACT00402
REASON_A019,ACT00403
REASON_A020,ACT00404
REASON_A021,ACT00500
REASON_A022,ACT00501
REASON_A023,ACT00502
REASON_A024,ACT00503
REASON_A025,ACT00504
REASON_A026,ACT00600
REASON_A027,ACT00601
REASON_A028,ACT00602
REASON_A029,ACT00603
REASON_A030,ACT00604
REASON_A031,ACT00700
REASON_A032,ACT00701
REASON_A033,ACT00702
REASON_A034,ACT00703
REASON_A035,ACT00704
REASON_A036,ACT00800
REASON_A037,ACT00801
REASON_A038,ACT00802
REASON_A039,ACT00803
REASON_A040,ACT00804
REASON_A041,ACT00900
REASON_A042,ACT00901
REASON_A043,ACT00902
REASON_A044,ACT00903
REASON_A045,ACT00904
REASON_A046,ACT01000
REASON_A047,ACT01001
REASON_A048,ACT01002
REASON_A049,ACT01003
REASON_A050,ACT01004
REASON_A051,ACT01100
REASON_A052,ACT01101
REASON_A053,ACT01102
REASON_A054,ACT01103
REASON_A055,ACT01104
REASON_A056,ACT01200
REASON_A057,ACT01201
REASON_A058,ACT01202
REASON_A059,ACT01203
REASON_A060,ACT01204
REASON_HH_H0001,ACT01300
REASON_HH_H0002,ACT01301
REASON_HH_H0003,ACT01302
REASON_HH_H0004,ACT01303
REASON_HH_H0005,ACT01304
REASON_HH_H0006,ACT01400
REASON_HH_H0007,ACT01401
REASON_HH_H0008,ACT01402
REASON_HH_H0009,ACT01403
REASON_HH_H0010,ACT01404
REASON_HH_H0011,ACT01500
REASON_HH_H0012,ACT01501
REASON_HH_H0013,ACT01502
REASON_HH_H0014,ACT01503
REASON_HH_H0015,ACT01504
REASON_HH_H0016,ACT01600
REASON_HH_H0017,ACT01601
REASON_HH_H0018,ACT01602
REASON_HH_H0019,ACT01603
REASON_HH_H0020,ACT01604
REASON_HH_H0021,ACT01700
REASON_HH_H0022,ACT01701
REASON_HH_H0023,ACT01702
REASON_HH_H0024,ACT01703
REASON_HH_H0025,ACT01704
REASON_HH_H0026,ACT01800
REASON_HH_H0027,ACT01801
REASON_HH_H0028,ACT01802
REASON_HH_H0029,ACT01803
REASON_HH_H0030,ACT01804
REASON_AC_AC00001,ACT01900
REASON_AC_AC00002,ACT01901
REASON_AC_AC00003,ACT01902
REASON_AC_AC00004,ACT01903
REASON_AC_AC00005,ACT01904
REASON_AC_AC00006,ACT02000
REASON_AC_AC00007,ACT02001
REASON_AC_AC00008,ACT02002
REASON_AC_AC00009,ACT02003
REASON_AC_AC00010,ACT02004
REASON_AC_AC00011,ACT02100
REASON_AC_AC00012,ACT02101
REASON_AC_AC00013,ACT02102
REASON_AC_AC00014,ACT02103
REASON_AC_AC00015,ACT02104
REASON_AC_AC00016,ACT02200
REASON_AC_AC00017,ACT02201
REASON_AC_AC00018,ACT02202
REASON_AC_AC00019,ACT02203
REASON_AC_AC00020,ACT02204
REASON_AC_AC00021,ACT02300
REASON_AC_AC00022,ACT02301
REASON_AC_AC00023,ACT02302
REASON_AC_AC00024,ACT02303
REASON_AC_AC00025,ACT02304
REASON_AC_AC00026,ACT02400
REASON_AC_AC00027,ACT02401
REASON_AC_AC00028,ACT02402
REASON_AC_AC00029,ACT02403
REASON_AC_AC00030,ACT02404
