trace_id,trace_type,conclusion,confidence,reasoning_steps_json,evidence_json,created_ts,status,recommendation_id,prediction_id,opportunity_id,memory_id
TRACE00000001,Recommendation,Generated conclusion with supporting evidence.,0.9181,"[""Retrieve graph context"", ""Compute features"", ""Compare peers"", ""Apply playbook""]","[""Revenue trend"", ""CRM activity"", ""NNM"", ""AGP KPI""]",2025-12-31 00:00:00,Active,REC00000155,PRED00000190,OPP00000464,MEM00000635
TRACE00000002,Insight,Generated conclusion with supporting evidence.,0.8212,"[""Retrieve graph context"", ""Compute features"", ""Compare peers"", ""Apply playbook""]","[""Revenue trend"", ""CRM activity"", ""NNM"", ""AGP KPI""]",2025-12-31 00:00:00,Active,REC00000314,PRED00000194,OPP00000264,MEM00000585
TRACE00000003,Recommendation,Generated conclusion with supporting evidence.,0.9325,"[""Retrieve graph context"", ""Compute features"", ""Compare peers"", ""Apply playbook""]","[""Revenue trend"", ""CRM activity"", ""NNM"", ""AGP KPI""]",2025-12-31 00:00:00,Active,REC00000023,PRED00000027,OPP00000224,MEM00000668
TRACE00000004,Insight,Generated conclusion with supporting evidence.,0.8475,"[""Retrieve graph context"", ""Compute features"", ""Compare peers"", ""Apply playbook""]","[""Revenue trend"", ""CRM activity"", ""NNM"", ""AGP KPI""]",2025-12-31 00:00:00,Active,REC00000514,PRED00000105,OPP00000025,MEM00000653
TRACE00000005,Insight,Generated conclusion with supporting evidence.,0.8254,"[""Retrieve graph context"", ""Compute features"", ""Compare peers"", ""Apply playbook""]","[""Revenue trend"", ""CRM activity"", ""NNM"", ""AGP KPI""]",2025-12-31 00:00:00,Active,REC00000180,PRED00000323,OPP00000076,MEM00000487
TRACE00000006,Prediction,Generated conclusion with supporting evidence.,0.7037,"[""Retrieve graph context"", ""Compute features"", ""Compare peers"", ""Apply playbook""]","[""Revenue trend"", ""CRM activity"", ""NNM"", ""AGP KPI""]",2025-12-31 00:00:00,Active,REC00000206,PRED00000332,OPP00000499,MEM00000431
TRACE00000007,Prediction,Generated conclusion with supporting evidence.,0.7233,"[""Retrieve graph context"", ""Compute features"", ""Compare peers"", ""Apply playbook""]","[""Revenue trend"", ""CRM activity"", ""NNM"", ""AGP KPI""]",2025-12-31 00:00:00,Active,REC00000400,PRED00000077,OPP00000063,MEM00000396
TRACE00000008,Insight,Generated conclusion with supporting evidence.,0.6625,"[""Retrieve graph context"", ""Compute features"", ""Compare peers"", ""Apply playbook""]","[""Revenue trend"", ""CRM activity"", ""NNM"", ""AGP KPI""]",2025-12-31 00:00:00,Active,REC00000230,PRED00000019,OPP00000288,MEM00000090
TRACE00000009,Opportunity,Generated conclusion with supporting evidence.,0.7045,"[""Retrieve graph context"", ""Compute features"", ""Compare peers"", ""Apply playbook""]","[""Revenue trend"", ""CRM activity"", ""NNM"", ""AGP KPI""]",2025-12-31 00:00:00,Active,REC00000030,PRED00000312,OPP00000062,MEM00000545
TRACE00000010,Recommendation,Generated conclusion with supporting evidence.,0.8381,"[""Retrieve graph context"", ""Compute features"", ""Compare peers"", ""Apply playbook""]","[""Revenue trend"", ""CRM activity"", ""NNM"", ""AGP KPI""]",2025-12-31 00:00:00,Active,REC00000097,PRED00000114,OPP00000511,MEM00000129
TRACE00000011,Prediction,Generated conclusion with supporting evidence.,0.6768,"[""Retrieve graph context"", ""Compute features"", ""Compare peers"", ""Apply playbook""]","[""Revenue trend"", ""CRM activity"", ""NNM"", ""AGP KPI""]",2025-12-31 00:00:00,Active,REC00000122,PRED00000186,OPP00000160,MEM00000449
TRACE00000012,Prediction,Generated conclusion with supporting evidence.,0.9328,"[""Retrieve graph context"", ""Compute features"", ""Compare peers"", ""Apply playbook""]","[""Revenue trend"", ""CRM activity"", ""NNM"", ""AGP KPI""]",2025-12-31 00:00:00,Active,REC00000416,PRED00000495,OPP00000512,MEM00000094
TRACE00000013,Recommendation,Generated conclusion with supporting evidence.,0.7187,"[""Retrieve graph context"", ""Compute features"", ""Compare peers"", ""Apply playbook""]","[""Revenue trend"", ""CRM activity"", ""NNM"", ""AGP KPI""]",2025-12-31 00:00:00,Active,REC00000117,PRED00000391,OPP00000165,MEM00000184
TRACE00000014,Prediction,Generated conclusion with supporting evidence.,0.7998,"[""Retrieve graph context"", ""Compute features"", ""Compare peers"", ""Apply playbook""]","[""Revenue trend"", ""CRM activity"", ""NNM"", ""AGP KPI""]",2025-12-31 00:00:00,Active,REC00000162,PRED00000465,OPP00000086,MEM00000330
TRACE00000015,Opportunity,Generated conclusion with supporting evidence.,0.692,"[""Retrieve graph context"", ""Compute features"", ""Compare peers"", ""Apply playbook""]","[""Revenue trend"", ""CRM activity"", ""NNM"", ""AGP KPI""]",2025-12-31 00:00:00,Active,REC00000474,PRED00000645,OPP00000011,MEM00000507
TRACE00000016,Insight,Generated conclusion with supporting evidence.,0.818,"[""Retrieve graph context"", ""Compute features"", ""Compare peers"", ""Apply playbook""]","[""Revenue trend"", ""CRM activity"", ""NNM"", ""AGP KPI""]",2025-12-31 00:00:00,Active,REC00000419,PRED00000053,OPP00000192,MEM00000043
TRACE00000017,Insight,Generated conclusion with supporting evidence.,0.7971,"[""Retrieve graph context"", ""Compute features"", ""Compare peers"", ""Apply playbook""]","[""Revenue trend"", ""CRM activity"", ""NNM"", ""AGP KPI""]",2025-12-31 00:00:00,Active,REC00000305,PRED00000463,OPP00000503,MEM00000250
TRACE00000018,Insight,Generated conclusion with supporting evidence.,0.8549,"[""Retrieve graph context"", ""Compute features"", ""Compare peers"", ""Apply playbook""]","[""Revenue trend"", ""CRM activity"", ""NNM"", ""AGP KPI""]",2025-12-31 00:00:00,Active,REC00000304,PRED00000650,OPP00000442,MEM00000635
TRACE00000019,Recommendation,Generated conclusion with supporting evidence.,0.8188,"[""Retrieve graph context"", ""Compute features"", ""Compare peers"", ""Apply playbook""]","[""Revenue trend"", ""CRM activity"", ""NNM"", ""AGP KPI""]",2025-12-31 00:00:00,Active,REC00000455,PRED00000401,OPP00000493,MEM00000124
TRACE00000020,Prediction,Generated conclusion with supporting evidence.,0.6661,"[""Retrieve graph context"", ""Compute features"", ""Compare peers"", ""Apply playbook""]","[""Revenue trend"", ""CRM activity"", ""NNM"", ""AGP KPI""]",2025-12-31 00:00:00,Active,REC00000441,PRED00000383,OPP00000262,MEM00000587
TRACE00000021,Insight,Generated conclusion with supporting evidence.,0.8728,"[""Retrieve graph context"", ""Compute features"", ""Compare peers"", ""Apply playbook""]","[""Revenue trend"", ""CRM activity"", ""NNM"", ""AGP KPI""]",2025-12-31 00:00:00,Active,REC00000157,PRED00000598,OPP00000059,MEM00000454
TRACE00000022,Prediction,Generated conclusion with supporting evidence.,0.6652,"[""Retrieve graph context"", ""Compute features"", ""Compare peers"", ""Apply playbook""]","[""Revenue trend"", ""CRM activity"", ""NNM"", ""AGP KPI""]",2025-12-31 00:00:00,Active,REC00000243,PRED00000555,OPP00000196,MEM00000303
