activity_id,activity_type,activity_date,subject,notes_summary,outcome,next_step,status,advisor_id,household_id,account_id
CRM00000001,Meeting,2023-11-13 00:00:00,Meeting with HH00017,Discussed managed account review and client goals.,No Response,Schedule review,Active,ADV0001,HH00017,ACCT000050
CRM00000002,Follow-up,2024-04-22 00:00:00,Follow-up with HH00001,Client expressed interest in tax-aware investment approach.,No Response,Create opportunity,Active,ADV0001,HH00001,ACCT000002
CRM00000003,Follow-up,2024-09-20 00:00:00,Follow-up with HH00003,Client expressed interest in tax-aware investment approach.,No Response,Create opportunity,Active,ADV0001,HH00003,ACCT000006
CRM00000004,Call,2024-12-23 00:00:00,Call with HH00017,Reviewed retirement income needs and cash balance.,No Response,Create opportunity,Active,ADV0001,HH00017,ACCT000049
CRM00000005,Follow-up,2025-09-07 00:00:00,Follow-up with HH00006,No recent engagement; requires proactive outreach.,Scheduled Follow-up,Discuss with manager,Active,ADV0001,HH00006,ACCT000015
CRM00000006,Note,2025-11-23 00:00:00,Note with HH00009,Client expressed interest in tax-aware investment approach.,Not Interested,Schedule review,Active,ADV0001,HH00009,ACCT000023
CRM00000007,Note,2025-07-25 00:00:00,Note with HH00005,Prospecting activity for new household acquisition.,Interested,No action,Active,ADV0001,HH00005,ACCT000014
CRM00000008,Prospecting,2025-09-22 00:00:00,Prospecting with HH00018,Prospecting activity for new household acquisition.,Not Interested,No action,Active,ADV0001,HH00018,ACCT000053
CRM00000009,Follow-up,2025-09-12 00:00:00,Follow-up with HH00008,Reviewed retirement income needs and cash balance.,Interested,Create opportunity,Active,ADV0001,HH00008,ACCT000020
CRM00000010,Note,2024-10-23 00:00:00,Note with HH00017,Discussed managed account review and client goals.,Interested,Discuss with manager,Active,ADV0001,HH00017,ACCT000048
CRM00000011,Prospecting,2023-06-24 00:00:00,Prospecting with HH00012,Client expressed interest in tax-aware investment approach.,Not Interested,Create opportunity,Active,ADV0001,HH00012,ACCT000032
CRM00000012,Note,2023-04-09 00:00:00,Note with HH00008,Reviewed retirement income needs and cash balance.,Completed,No action,Active,ADV0001,HH00008,ACCT000021
CRM00000013,Note,2025-04-21 00:00:00,Note with HH00010,Follow-up required on fixed income allocation.,Completed,Discuss with manager,Active,ADV0001,HH00010,ACCT000024
CRM00000014,Follow-up,2025-09-14 00:00:00,Follow-up with HH00008,Discussed managed account review and client goals.,Not Interested,No action,Active,ADV0001,HH00008,ACCT000020
CRM00000015,Prospecting,2023-06-25 00:00:00,Prospecting with HH00016,Discussed managed account review and client goals.,Not Interested,Send material,Active,ADV0001,HH00016,ACCT000044
CRM00000016,Follow-up,2024-10-15 00:00:00,Follow-up with HH00014,Client expressed interest in tax-aware investment approach.,Completed,Create opportunity,Active,ADV0001,HH00014,ACCT000038
CRM00000017,Email,2024-04-25 00:00:00,Email with HH00007,No recent engagement; requires proactive outreach.,Scheduled Follow-up,Send material,Active,ADV0001,HH00007,ACCT000019
CRM00000018,Call,2025-02-09 00:00:00,Call with HH00006,Follow-up required on fixed income allocation.,Scheduled Follow-up,Create opportunity,Active,ADV0001,HH00006,ACCT000015
CRM00000019,Follow-up,2024-02-15 00:00:00,Follow-up with HH00005,Prospecting activity for new household acquisition.,Scheduled Follow-up,No action,Active,ADV0001,HH00005,ACCT000013
CRM00000020,Follow-up,2023-01-26 00:00:00,Follow-up with HH00007,Discussed managed account review and client goals.,Not Interested,Send material,Active,ADV0001,HH00007,ACCT000017
CRM00000021,Follow-up,2023-01-19 00:00:00,Follow-up with HH00017,Discussed managed account review and client goals.,Not Interested,Send material,Active,ADV0001,HH00017,ACCT000048
CRM00000022,Meeting,2025-12-09 00:00:00,Meeting with HH00009,Prospecting activity for new household acquisition.,Interested,Create opportunity,Active,ADV0001,HH00009,ACCT000022
CRM00000023,Meeting,2025-08-26 00:00:00,Meeting with HH00010,Prospecting activity for new household acquisition.,No Response,Schedule review,Active,ADV0001,HH00010,ACCT000026
CRM00000024,Client Review,2023-08-13 00:00:00,Client Review with HH00015,Discussed managed account review and client goals.,Completed,No action,Active,ADV0001,HH00015,ACCT000041
CRM00000025,Email,2023-02-16 00:00:00,Email with HH00016,Prospecting activity for new household acquisition.,Interested,No action,Active,ADV0001,HH00016,ACCT000046
