session_id,session_date,coach_user_id,session_type,status,summary,action_items_json,next_session_date
COACH0010,2026-06-11,U_MDW01,AGP_COACHING,COMPLETED,Reviewed KPI trends against milestone targets; flagged NNM pacing and agreed on a prospecting push.,"[""Prepare NNM pacing plan for next milestone"", ""Schedule CPA partner introduction""]",2026-07-15
COACH0011,2026-05-07,U_MDW01,AGP_COACHING,COMPLETED,Analyzed revenue mix versus peers; built an action list to deepen fixed-income penetration.,"[""Prepare NNM pacing plan for next milestone"", ""Schedule CPA partner introduction""]",2026-07-15
COACH0012,2026-04-02,U_MDW01,AGP_COACHING,COMPLETED,Coached on managed-account positioning for top households; role-played the upgrade conversation.,"[""Draft managed-account upgrade proposals"", ""Update pipeline stages in CRM""]",2026-07-15
COACH0020,2026-06-11,U_MDW02,AGP_COACHING,COMPLETED,Reviewed overdue lead follow-ups; cleared blockers and committed to same-week first-touch on new leads.,"[""Draft managed-account upgrade proposals"", ""Schedule CPA partner introduction""]",2026-07-15
COACH0021,2026-05-07,U_MDW02,AGP_COACHING,COMPLETED,Coached on managed-account positioning for top households; role-played the upgrade conversation.,"[""Prepare NNM pacing plan for next milestone"", ""Complete overdue lead follow-ups""]",2026-07-15
COACH0022,2026-04-02,U_MDW02,AGP_COACHING,COMPLETED,Session focused on referral sourcing from CPA partners; drafted an introduction plan for two centers of influence.,"[""Ask two satisfied clients for referrals"", ""Update pipeline stages in CRM""]",2026-07-15
COACH0030,2026-06-11,U_MDW03,AGP_COACHING,COMPLETED,Analyzed revenue mix versus peers; built an action list to deepen fixed-income penetration.,"[""Schedule CPA partner introduction"", ""Book annual reviews for five at-risk households""]",2026-07-15
COACH0031,2026-05-07,U_MDW03,AGP_COACHING,COMPLETED,Reviewed overdue lead follow-ups; cleared blockers and committed to same-week first-touch on new leads.,"[""Schedule CPA partner introduction"", ""Update pipeline stages in CRM""]",2026-07-15
COACH0032,2026-04-02,U_MDW03,AGP_COACHING,COMPLETED,Reviewed pipeline health and prioritized the two largest open opportunities; agreed on weekly follow-up cadence.,"[""Book annual reviews for five at-risk households"", ""Update pipeline stages in CRM""]",2026-07-15
COACH0040,2026-06-11,U_MDW04,AGP_COACHING,COMPLETED,Session focused on referral sourcing from CPA partners; drafted an introduction plan for two centers of influence.,"[""Update pipeline stages in CRM"", ""Draft managed-account upgrade proposals""]",2026-07-15
COACH0041,2026-05-07,U_MDW04,AGP_COACHING,COMPLETED,Reviewed overdue lead follow-ups; cleared blockers and committed to same-week first-touch on new leads.,"[""Ask two satisfied clients for referrals"", ""Draft managed-account upgrade proposals""]",2026-07-15
COACH0042,2026-04-02,U_MDW04,AGP_COACHING,COMPLETED,Coached on managed-account positioning for top households; role-played the upgrade conversation.,"[""Call top three open opportunities this week"", ""Book annual reviews for five at-risk households""]",2026-07-15
COACH0050,2026-06-11,U_MDW05,AGP_COACHING,COMPLETED,Discussed client engagement cadence for at-risk households; scheduled proactive outreach for the top five.,"[""Book annual reviews for five at-risk households"", ""Draft managed-account upgrade proposals""]",2026-07-15
COACH0051,2026-05-07,U_MDW05,AGP_COACHING,COMPLETED,Walked through AGP milestone attainment; identified referral conversion as the key gap and set a 30-day target.,"[""Schedule CPA partner introduction"", ""Update pipeline stages in CRM""]",2026-07-15
COACH0052,2026-04-02,U_MDW05,AGP_COACHING,COMPLETED,Analyzed revenue mix versus peers; built an action list to deepen fixed-income penetration.,"[""Ask two satisfied clients for referrals"", ""Call top three open opportunities this week""]",2026-07-15
COACH0060,2026-06-11,U_MDW06,AGP_COACHING,COMPLETED,Reviewed pipeline health and prioritized the two largest open opportunities; agreed on weekly follow-up cadence.,"[""Schedule CPA partner introduction"", ""Ask two satisfied clients for referrals""]",2026-07-15
COACH0061,2026-05-07,U_MDW06,AGP_COACHING,COMPLETED,Reviewed pipeline health and prioritized the two largest open opportunities; agreed on weekly follow-up cadence.,"[""Call top three open opportunities this week"", ""Update pipeline stages in CRM""]",2026-07-15
COACH0062,2026-04-02,U_MDW06,AGP_COACHING,COMPLETED,Reviewed pipeline health and prioritized the two largest open opportunities; agreed on weekly follow-up cadence.,"[""Complete overdue lead follow-ups"", ""Call top three open opportunities this week""]",2026-07-15
COACH0070,2026-06-11,U_MDW07,AGP_COACHING,COMPLETED,Analyzed revenue mix versus peers; built an action list to deepen fixed-income penetration.,"[""Schedule CPA partner introduction"", ""Call top three open opportunities this week""]",2026-07-15
COACH0071,2026-05-07,U_MDW07,AGP_COACHING,COMPLETED,Session focused on referral sourcing from CPA partners; drafted an introduction plan for two centers of influence.,"[""Schedule CPA partner introduction"", ""Complete overdue lead follow-ups""]",2026-07-15
COACH0072,2026-04-02,U_MDW07,AGP_COACHING,COMPLETED,Reviewed overdue lead follow-ups; cleared blockers and committed to same-week first-touch on new leads.,"[""Ask two satisfied clients for referrals"", ""Prepare NNM pacing plan for next milestone""]",2026-07-15
COACH0080,2026-06-11,U_MDW08,AGP_COACHING,COMPLETED,Discussed client engagement cadence for at-risk households; scheduled proactive outreach for the top five.,"[""Book annual reviews for five at-risk households"", ""Update pipeline stages in CRM""]",2026-07-15
COACH0081,2026-05-07,U_MDW08,AGP_COACHING,COMPLETED,Session focused on referral sourcing from CPA partners; drafted an introduction plan for two centers of influence.,"[""Prepare NNM pacing plan for next milestone"", ""Draft managed-account upgrade proposals""]",2026-07-15
COACH0082,2026-04-02,U_MDW08,AGP_COACHING,COMPLETED,Reviewed overdue lead follow-ups; cleared blockers and committed to same-week first-touch on new leads.,"[""Complete overdue lead follow-ups"", ""Draft managed-account upgrade proposals""]",2026-07-15
COACH0090,2026-06-11,U_MDW09,AGP_COACHING,COMPLETED,Reviewed KPI trends against milestone targets; flagged NNM pacing and agreed on a prospecting push.,"[""Call top three open opportunities this week"", ""Schedule CPA partner introduction""]",2026-07-15
COACH0091,2026-05-07,U_MDW09,AGP_COACHING,COMPLETED,Discussed client engagement cadence for at-risk households; scheduled proactive outreach for the top five.,"[""Schedule CPA partner introduction"", ""Complete overdue lead follow-ups""]",2026-07-15
COACH0092,2026-04-02,U_MDW09,AGP_COACHING,COMPLETED,Reviewed KPI trends against milestone targets; flagged NNM pacing and agreed on a prospecting push.,"[""Call top three open opportunities this week"", ""Complete overdue lead follow-ups""]",2026-07-15
COACH0100,2026-06-11,U_MDW10,AGP_COACHING,COMPLETED,Reviewed KPI trends against milestone targets; flagged NNM pacing and agreed on a prospecting push.,"[""Prepare NNM pacing plan for next milestone"", ""Draft managed-account upgrade proposals""]",2026-07-15
COACH0101,2026-05-07,U_MDW10,AGP_COACHING,COMPLETED,Walked through AGP milestone attainment; identified referral conversion as the key gap and set a 30-day target.,"[""Prepare NNM pacing plan for next milestone"", ""Draft managed-account upgrade proposals""]",2026-07-15
