conversation_turn_id,conversation_id,turn_ts,user_question,assistant_answer,persona,scope_type,scope_id,status,memory_id
CONVTURN00000001,CONV000001,2025-12-31 00:00:00,Which clients are at risk?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",Advisor,Advisor,ADV0149,Active,MEM00000522
CONVTURN00000002,CONV000001,2025-12-31 00:00:00,Am I on track for AGP?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",DDW,Advisor,ADV0062,Active,MEM00000287
CONVTURN00000003,CONV000001,2025-12-31 00:00:00,Why is revenue down?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",MDW,Advisor,ADV0148,Active,MEM00000536
CONVTURN00000004,CONV000001,2025-12-31 00:00:00,Why is revenue down?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",DDW,Advisor,ADV0118,Active,MEM00000655
CONVTURN00000005,CONV000001,2025-12-31 00:00:00,What should I do next?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",DDW,Advisor,ADV0003,Active,MEM00000289
CONVTURN00000006,CONV000002,2025-12-31 00:00:00,What should I do next?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",MDW,Advisor,ADV0029,Active,MEM00000600
CONVTURN00000007,CONV000002,2025-12-31 00:00:00,Which clients are at risk?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",MDW,Advisor,ADV0126,Active,MEM00000109
CONVTURN00000008,CONV000002,2025-12-31 00:00:00,What should I do next?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",DDW,Advisor,ADV0054,Active,MEM00000495
CONVTURN00000009,CONV000002,2025-12-31 00:00:00,Why is revenue down?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",MDW,Advisor,ADV0144,Active,MEM00000045
CONVTURN00000010,CONV000002,2025-12-31 00:00:00,Am I on track for AGP?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",Advisor,Advisor,ADV0124,Active,MEM00000112
CONVTURN00000011,CONV000003,2025-12-31 00:00:00,Which clients are at risk?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",Advisor,Advisor,ADV0065,Active,MEM00000290
CONVTURN00000012,CONV000003,2025-12-31 00:00:00,Why is revenue down?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",MDW,Advisor,ADV0027,Active,MEM00000373
CONVTURN00000013,CONV000003,2025-12-31 00:00:00,Am I on track for AGP?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",Advisor,Advisor,ADV0032,Active,MEM00000237
CONVTURN00000014,CONV000003,2025-12-31 00:00:00,What should I do next?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",DDW,Advisor,ADV0136,Active,MEM00000006
CONVTURN00000015,CONV000003,2025-12-31 00:00:00,What should I do next?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",Advisor,Advisor,ADV0060,Active,MEM00000032
CONVTURN00000016,CONV000004,2025-12-31 00:00:00,Which clients are at risk?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",Advisor,Advisor,ADV0077,Active,MEM00000227
CONVTURN00000017,CONV000004,2025-12-31 00:00:00,Why is revenue down?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",Advisor,Advisor,ADV0128,Active,MEM00000218
CONVTURN00000018,CONV000004,2025-12-31 00:00:00,Why is revenue down?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",DDW,Advisor,ADV0058,Active,MEM00000334
CONVTURN00000019,CONV000004,2025-12-31 00:00:00,Which clients are at risk?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",DDW,Advisor,ADV0145,Active,MEM00000459
CONVTURN00000020,CONV000004,2025-12-31 00:00:00,What should I do next?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",DDW,Advisor,ADV0023,Active,MEM00000124
CONVTURN00000021,CONV000005,2025-12-31 00:00:00,Am I on track for AGP?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",MDW,Advisor,ADV0094,Active,MEM00000346
CONVTURN00000022,CONV000005,2025-12-31 00:00:00,What should I do next?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",DDW,Advisor,ADV0056,Active,MEM00000206
CONVTURN00000023,CONV000005,2025-12-31 00:00:00,What should I do next?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",MDW,Advisor,ADV0110,Active,MEM00000106
CONVTURN00000024,CONV000005,2025-12-31 00:00:00,Why is revenue down?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",DDW,Advisor,ADV0034,Active,MEM00000009
CONVTURN00000025,CONV000005,2025-12-31 00:00:00,Which clients are at risk?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",MDW,Advisor,ADV0057,Active,MEM00000349
CONVTURN00000026,CONV000006,2025-12-31 00:00:00,What should I do next?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",Advisor,Advisor,ADV0160,Active,MEM00000302
CONVTURN00000027,CONV000006,2025-12-31 00:00:00,What should I do next?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",Advisor,Advisor,ADV0105,Active,MEM00000436
CONVTURN00000028,CONV000006,2025-12-31 00:00:00,What should I do next?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",DDW,Advisor,ADV0106,Active,MEM00000200
CONVTURN00000029,CONV000006,2025-12-31 00:00:00,Which clients are at risk?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",Advisor,Advisor,ADV0100,Active,MEM00000090
CONVTURN00000030,CONV000006,2025-12-31 00:00:00,What should I do next?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",MDW,Advisor,ADV0112,Active,MEM00000610
CONVTURN00000031,CONV000007,2025-12-31 00:00:00,Which clients are at risk?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",MDW,Advisor,ADV0145,Active,MEM00000015
CONVTURN00000032,CONV000007,2025-12-31 00:00:00,Am I on track for AGP?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",Advisor,Advisor,ADV0152,Active,MEM00000281
CONVTURN00000033,CONV000007,2025-12-31 00:00:00,Which clients are at risk?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",Advisor,Advisor,ADV0012,Active,MEM00000007
CONVTURN00000034,CONV000007,2025-12-31 00:00:00,Am I on track for AGP?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",MDW,Advisor,ADV0026,Active,MEM00000241
CONVTURN00000035,CONV000007,2025-12-31 00:00:00,Why is revenue down?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",Advisor,Advisor,ADV0035,Active,MEM00000237
CONVTURN00000036,CONV000008,2025-12-31 00:00:00,Which clients are at risk?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",DDW,Advisor,ADV0070,Active,MEM00000620
CONVTURN00000037,CONV000008,2025-12-31 00:00:00,Why is revenue down?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",DDW,Advisor,ADV0047,Active,MEM00000252
CONVTURN00000038,CONV000008,2025-12-31 00:00:00,Why is revenue down?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",DDW,Advisor,ADV0145,Active,MEM00000046
CONVTURN00000039,CONV000008,2025-12-31 00:00:00,What should I do next?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",MDW,Advisor,ADV0029,Active,MEM00000310
CONVTURN00000040,CONV000008,2025-12-31 00:00:00,Why is revenue down?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",DDW,Advisor,ADV0145,Active,MEM00000571
CONVTURN00000041,CONV000009,2025-12-31 00:00:00,What should I do next?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",MDW,Advisor,ADV0107,Active,MEM00000452
CONVTURN00000042,CONV000009,2025-12-31 00:00:00,Am I on track for AGP?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",MDW,Advisor,ADV0103,Active,MEM00000462
CONVTURN00000043,CONV000009,2025-12-31 00:00:00,Which clients are at risk?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",DDW,Advisor,ADV0084,Active,MEM00000470
CONVTURN00000044,CONV000009,2025-12-31 00:00:00,Why is revenue down?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",DDW,Advisor,ADV0101,Active,MEM00000449
CONVTURN00000045,CONV000009,2025-12-31 00:00:00,Why is revenue down?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",DDW,Advisor,ADV0037,Active,MEM00000353
CONVTURN00000046,CONV000010,2025-12-31 00:00:00,What should I do next?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",DDW,Advisor,ADV0046,Active,MEM00000270
CONVTURN00000047,CONV000010,2025-12-31 00:00:00,What should I do next?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",MDW,Advisor,ADV0065,Active,MEM00000301
CONVTURN00000048,CONV000010,2025-12-31 00:00:00,Why is revenue down?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",DDW,Advisor,ADV0129,Active,MEM00000387
