chunk_id,chunk_no,content,token_count,embedding_ref
CH001_01,1,"Guidance section 1 for coaching, lead follow-up, referrals and opportunity conversion.",28,emb-doc-1-1
CH001_02,2,"Guidance section 2 for coaching, lead follow-up, referrals and opportunity conversion.",28,emb-doc-1-2
CH001_03,3,"Guidance section 3 for coaching, lead follow-up, referrals and opportunity conversion.",28,emb-doc-1-3
CH002_01,1,"Guidance section 1 for coaching, lead follow-up, referrals and opportunity conversion.",28,emb-doc-2-1
CH002_02,2,"Guidance section 2 for coaching, lead follow-up, referrals and opportunity conversion.",28,emb-doc-2-2
CH002_03,3,"Guidance section 3 for coaching, lead follow-up, referrals and opportunity conversion.",28,emb-doc-2-3
CH003_01,1,"Guidance section 1 for coaching, lead follow-up, referrals and opportunity conversion.",28,emb-doc-3-1
CH003_02,2,"Guidance section 2 for coaching, lead follow-up, referrals and opportunity conversion.",28,emb-doc-3-2
CH003_03,3,"Guidance section 3 for coaching, lead follow-up, referrals and opportunity conversion.",28,emb-doc-3-3
CH004_01,1,"Guidance section 1 for coaching, lead follow-up, referrals and opportunity conversion.",28,emb-doc-4-1
CH004_02,2,"Guidance section 2 for coaching, lead follow-up, referrals and opportunity conversion.",28,emb-doc-4-2
CH004_03,3,"Guidance section 3 for coaching, lead follow-up, referrals and opportunity conversion.",28,emb-doc-4-3
CH005_01,1,"Guidance section 1 for coaching, lead follow-up, referrals and opportunity conversion.",28,emb-doc-5-1
CH005_02,2,"Guidance section 2 for coaching, lead follow-up, referrals and opportunity conversion.",28,emb-doc-5-2
CH005_03,3,"Guidance section 3 for coaching, lead follow-up, referrals and opportunity conversion.",28,emb-doc-5-3
CH006_01,1,"Guidance section 1 for coaching, lead follow-up, referrals and opportunity conversion.",28,emb-doc-6-1
CH006_02,2,"Guidance section 2 for coaching, lead follow-up, referrals and opportunity conversion.",28,emb-doc-6-2
CH006_03,3,"Guidance section 3 for coaching, lead follow-up, referrals and opportunity conversion.",28,emb-doc-6-3
CH007_01,1,"Guidance section 1 for coaching, lead follow-up, referrals and opportunity conversion.",28,emb-doc-7-1
CH007_02,2,"Guidance section 2 for coaching, lead follow-up, referrals and opportunity conversion.",28,emb-doc-7-2
CH007_03,3,"Guidance section 3 for coaching, lead follow-up, referrals and opportunity conversion.",28,emb-doc-7-3
CH008_01,1,"Guidance section 1 for coaching, lead follow-up, referrals and opportunity conversion.",28,emb-doc-8-1
CH008_02,2,"Guidance section 2 for coaching, lead follow-up, referrals and opportunity conversion.",28,emb-doc-8-2
CH008_03,3,"Guidance section 3 for coaching, lead follow-up, referrals and opportunity conversion.",28,emb-doc-8-3
