recommendation_id,recommendation_type,title,action_text,score,confidence,status,created_ts,updated_ts,advisor_id,household_id,opportunity_id,prediction_id,playbook_id
REC00000001,NNM Growth,Recommended action: NNM Growth,Review high cash balance households.,0.5206,0.6797,completed,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0001,HH00007,OPP00000001,PRED00000004,PB002
REC00000002,Managed Account Expansion,Recommended action: Managed Account Expansion,Contact households with declining NCF.,0.6327,0.6684,ignored,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0001,HH00017,OPP00000002,PRED00000002,PB002
REC00000003,CRM Engagement Gap,Recommended action: CRM Engagement Gap,Apply best-practice playbook for advisor growth.,0.9641,0.8748,rejected,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0001,HH00007,OPP00000003,PRED00000003,PB003
REC00000004,NNM Growth,Recommended action: NNM Growth,Contact households with declining NCF.,0.639,0.6989,rejected,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0001,HH00016,OPP00000004,PRED00000003,PB001
REC00000005,AUM Retention,Recommended action: AUM Retention,Contact households with declining NCF.,0.8402,0.7583,accepted,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0002,HH00028,OPP00000005,PRED00000007,PB003
REC00000006,AUM Retention,Recommended action: AUM Retention,Contact households with declining NCF.,0.7694,0.7989,generated,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0002,HH00019,OPP00000006,PRED00000005,PB001
REC00000007,NNM Growth,Recommended action: NNM Growth,Review high cash balance households.,0.9761,0.7524,ignored,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0002,HH00032,OPP00000007,PRED00000005,PB003
REC00000008,AGP Goal Recovery,Recommended action: AGP Goal Recovery,Schedule a managed account review meeting.,0.547,0.8966,completed,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0003,HH00049,OPP00000008,PRED00000011,PB002
REC00000009,Managed Account Expansion,Recommended action: Managed Account Expansion,Schedule a managed account review meeting.,0.6064,0.7869,generated,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0003,HH00039,OPP00000009,PRED00000011,PB001
REC00000010,CRM Engagement Gap,Recommended action: CRM Engagement Gap,Schedule a managed account review meeting.,0.6538,0.715,accepted,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0003,HH00041,OPP00000010,PRED00000012,PB002
REC00000011,Managed Account Expansion,Recommended action: Managed Account Expansion,Contact households with declining NCF.,0.7243,0.727,accepted,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0004,HH00061,OPP00000011,PRED00000016,PB002
REC00000012,NNM Growth,Recommended action: NNM Growth,Contact households with declining NCF.,0.5439,0.6605,completed,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0004,HH00054,OPP00000012,PRED00000015,PB002
REC00000013,AGP Goal Recovery,Recommended action: AGP Goal Recovery,Contact households with declining NCF.,0.8104,0.8158,generated,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0005,HH00066,OPP00000013,PRED00000018,PB002
REC00000014,Managed Account Expansion,Recommended action: Managed Account Expansion,Schedule a managed account review meeting.,0.8693,0.7438,accepted,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0005,HH00066,OPP00000014,PRED00000017,PB002
