task_id,title,category,instruction,status,priority,created_date,due_date,completed_date,created_by_user_id
CTASK0001,Complete overdue lead follow-ups,CRM_EXECUTION,Work the overdue lead queue to zero this week and log next actions in CRM.,OPEN,MEDIUM,2026-06-22,2026-07-16,,U_MDW01
CTASK0002,Advance top pipeline opportunity,PIPELINE,Move the largest open opportunity to the next stage; document the client's decision criteria.,IN_PROGRESS,LOW,2026-06-18,2026-07-19,,U_MDW01
CTASK0003,Advance top pipeline opportunity,PIPELINE,Move the largest open opportunity to the next stage; document the client's decision criteria.,IN_PROGRESS,MEDIUM,2026-06-13,2026-07-23,,U_MDW01
CTASK0004,Book annual reviews for at-risk households,CLIENT_ENGAGEMENT,Schedule annual reviews with the five households showing the longest gap since last activity.,COMPLETED,LOW,2026-06-17,2026-07-15,2026-06-25,U_MDW01
CTASK0005,Book annual reviews for at-risk households,CLIENT_ENGAGEMENT,Schedule annual reviews with the five households showing the longest gap since last activity.,COMPLETED,HIGH,2026-06-24,2026-07-12,2026-06-29,U_MDW02
CTASK0006,Close the AGP milestone execution gap,AGP_MILESTONE,Focus on the KPIs behind the current milestone; bring attainment above target before the due date.,OPEN,HIGH,2026-05-13,2026-07-20,,U_MDW02
CTASK0007,Close the AGP milestone execution gap,AGP_MILESTONE,Focus on the KPIs behind the current milestone; bring attainment above target before the due date.,OPEN,LOW,2026-06-01,2026-07-27,,U_MDW02
CTASK0008,Present managed-account upgrade to top clients,MANAGED_MIX,Prepare and deliver managed-account proposals for the three largest brokerage-heavy households.,IN_PROGRESS,HIGH,2026-06-20,2026-07-18,,U_MDW02
CTASK0009,Present managed-account upgrade to top clients,MANAGED_MIX,Prepare and deliver managed-account proposals for the three largest brokerage-heavy households.,IN_PROGRESS,HIGH,2026-05-05,2026-07-19,,U_MDW03
CTASK0010,Ask two clients for referrals,CRM_EXECUTION,Identify two highly satisfied clients from recent reviews and make a direct referral ask.,COMPLETED,HIGH,2026-06-11,2026-07-26,2026-06-25,U_MDW03
CTASK0011,Ask two clients for referrals,CRM_EXECUTION,Identify two highly satisfied clients from recent reviews and make a direct referral ask.,COMPLETED,MEDIUM,2026-06-09,2026-07-10,2026-06-16,U_MDW03
