reasoning_id,artifact_type,artifact_id,reasoning_steps_json,evidence_json,model_name,prompt_version,confidence,created_at
REASON_A001,RECOMMENDATION,REC_A001,"[""Resolve persona and scope"", ""Retrieve graph facts"", ""Build feature snapshot"", ""Score prediction"", ""Create opportunity"", ""Select playbook"", ""Generate next best action""]","{""features"": {""revenue_growth_3m"": 1.1, ""managed_revenue_ratio"": 0.185, ""pending_lead_count"": 3, ""referral_conversion_rate"": 0.18, ""crm_pipeline_value"": 335000, ""days_since_last_followup"": 9, ""agp_milestone_attainment_pct"": 62, ""peer_gap_pct"": -13.2, ""recommendation_acceptance_rate"": 0.43}, ""prediction_id"": ""PRED_A001"", ""opportunity_id"": ""OPP_A001"", ""memory_id"": ""MEM_A001""}",rules-plus-llm-narrative,v1.0,0.84,2026-07-01
REASON_A002,RECOMMENDATION,REC_A002,"[""Resolve persona and scope"", ""Retrieve graph facts"", ""Build feature snapshot"", ""Score prediction"", ""Create opportunity"", ""Select playbook"", ""Generate next best action""]","{""features"": {""revenue_growth_3m"": 1.0, ""managed_revenue_ratio"": 0.22, ""pending_lead_count"": 6, ""referral_conversion_rate"": 0.24, ""crm_pipeline_value"": 370000, ""days_since_last_followup"": 18, ""agp_milestone_attainment_pct"": 69, ""peer_gap_pct"": -11.0, ""recommendation_acceptance_rate"": 0.51}, ""prediction_id"": ""PRED_A002"", ""opportunity_id"": ""OPP_A002"", ""memory_id"": ""MEM_A002""}",rules-plus-llm-narrative,v1.0,0.84,2026-07-01
REASON_A003,RECOMMENDATION,REC_A003,"[""Resolve persona and scope"", ""Retrieve graph facts"", ""Build feature snapshot"", ""Score prediction"", ""Create opportunity"", ""Select playbook"", ""Generate next best action""]","{""features"": {""revenue_growth_3m"": 0.9, ""managed_revenue_ratio"": 0.255, ""pending_lead_count"": 1, ""referral_conversion_rate"": 0.3, ""crm_pipeline_value"": 405000, ""days_since_last_followup"": 27, ""agp_milestone_attainment_pct"": 76, ""peer_gap_pct"": -8.8, ""recommendation_acceptance_rate"": 0.59}, ""prediction_id"": ""PRED_A003"", ""opportunity_id"": ""OPP_A003"", ""memory_id"": ""MEM_A003""}",rules-plus-llm-narrative,v1.0,0.84,2026-07-01
REASON_A004,RECOMMENDATION,REC_A004,"[""Resolve persona and scope"", ""Retrieve graph facts"", ""Build feature snapshot"", ""Score prediction"", ""Create opportunity"", ""Select playbook"", ""Generate next best action""]","{""features"": {""revenue_growth_3m"": 0.8, ""managed_revenue_ratio"": 0.29, ""pending_lead_count"": 4, ""referral_conversion_rate"": 0.36, ""crm_pipeline_value"": 440000, ""days_since_last_followup"": 36, ""agp_milestone_attainment_pct"": 83, ""peer_gap_pct"": -6.6, ""recommendation_acceptance_rate"": 0.67}, ""prediction_id"": ""PRED_A004"", ""opportunity_id"": ""OPP_A004"", ""memory_id"": ""MEM_A004""}",rules-plus-llm-narrative,v1.0,0.84,2026-07-01
REASON_A005,RECOMMENDATION,REC_A005,"[""Resolve persona and scope"", ""Retrieve graph facts"", ""Build feature snapshot"", ""Score prediction"", ""Create opportunity"", ""Select playbook"", ""Generate next best action""]","{""features"": {""revenue_growth_3m"": 0.7, ""managed_revenue_ratio"": 0.325, ""pending_lead_count"": 7, ""referral_conversion_rate"": 0.42, ""crm_pipeline_value"": 475000, ""days_since_last_followup"": 45, ""agp_milestone_attainment_pct"": 90, ""peer_gap_pct"": -4.4, ""recommendation_acceptance_rate"": 0.75}, ""prediction_id"": ""PRED_A005"", ""opportunity_id"": ""OPP_A005"", ""memory_id"": ""MEM_A005""}",rules-plus-llm-narrative,v1.0,0.84,2026-07-01
REASON_A006,RECOMMENDATION,REC_A006,"[""Resolve persona and scope"", ""Retrieve graph facts"", ""Build feature snapshot"", ""Score prediction"", ""Create opportunity"", ""Select playbook"", ""Generate next best action""]","{""features"": {""revenue_growth_3m"": 0.6, ""managed_revenue_ratio"": 0.36, ""pending_lead_count"": 2, ""referral_conversion_rate"": 0.48, ""crm_pipeline_value"": 510000, ""days_since_last_followup"": 54, ""agp_milestone_attainment_pct"": 97, ""peer_gap_pct"": -2.2, ""recommendation_acceptance_rate"": 0.35}, ""prediction_id"": ""PRED_A006"", ""opportunity_id"": ""OPP_A006"", ""memory_id"": ""MEM_A006""}",rules-plus-llm-narrative,v1.0,0.84,2026-07-01
REASON_A007,RECOMMENDATION,REC_A007,"[""Resolve persona and scope"", ""Retrieve graph facts"", ""Build feature snapshot"", ""Score prediction"", ""Create opportunity"", ""Select playbook"", ""Generate next best action""]","{""features"": {""revenue_growth_3m"": 0.5, ""managed_revenue_ratio"": 0.395, ""pending_lead_count"": 5, ""referral_conversion_rate"": 0.54, ""crm_pipeline_value"": 545000, ""days_since_last_followup"": 63, ""agp_milestone_attainment_pct"": 104, ""peer_gap_pct"": 0.0, ""recommendation_acceptance_rate"": 0.43}, ""prediction_id"": ""PRED_A007"", ""opportunity_id"": ""OPP_A007"", ""memory_id"": ""MEM_A007""}",rules-plus-llm-narrative,v1.0,0.84,2026-07-01
REASON_A008,RECOMMENDATION,REC_A008,"[""Resolve persona and scope"", ""Retrieve graph facts"", ""Build feature snapshot"", ""Score prediction"", ""Create opportunity"", ""Select playbook"", ""Generate next best action""]","{""features"": {""revenue_growth_3m"": 0.4, ""managed_revenue_ratio"": 0.43, ""pending_lead_count"": 0, ""referral_conversion_rate"": 0.12, ""crm_pipeline_value"": 580000, ""days_since_last_followup"": 2, ""agp_milestone_attainment_pct"": 61, ""peer_gap_pct"": 2.2, ""recommendation_acceptance_rate"": 0.51}, ""prediction_id"": ""PRED_A008"", ""opportunity_id"": ""OPP_A008"", ""memory_id"": ""MEM_A008""}",rules-plus-llm-narrative,v1.0,0.84,2026-07-01
REASON_A009,RECOMMENDATION,REC_A009,"[""Resolve persona and scope"", ""Retrieve graph facts"", ""Build feature snapshot"", ""Score prediction"", ""Create opportunity"", ""Select playbook"", ""Generate next best action""]","{""features"": {""revenue_growth_3m"": 0.3, ""managed_revenue_ratio"": 0.465, ""pending_lead_count"": 3, ""referral_conversion_rate"": 0.18, ""crm_pipeline_value"": 615000, ""days_since_last_followup"": 11, ""agp_milestone_attainment_pct"": 68, ""peer_gap_pct"": 4.4, ""recommendation_acceptance_rate"": 0.59}, ""prediction_id"": ""PRED_A009"", ""opportunity_id"": ""OPP_A009"", ""memory_id"": ""MEM_A009""}",rules-plus-llm-narrative,v1.0,0.84,2026-07-01
REASON_A010,RECOMMENDATION,REC_A010,"[""Resolve persona and scope"", ""Retrieve graph facts"", ""Build feature snapshot"", ""Score prediction"", ""Create opportunity"", ""Select playbook"", ""Generate next best action""]","{""features"": {""revenue_growth_3m"": 0.2, ""managed_revenue_ratio"": 0.5, ""pending_lead_count"": 6, ""referral_conversion_rate"": 0.24, ""crm_pipeline_value"": 650000, ""days_since_last_followup"": 20, ""agp_milestone_attainment_pct"": 75, ""peer_gap_pct"": 6.6, ""recommendation_acceptance_rate"": 0.67}, ""prediction_id"": ""PRED_A010"", ""opportunity_id"": ""OPP_A010"", ""memory_id"": ""MEM_A010""}",rules-plus-llm-narrative,v1.0,0.84,2026-07-01
