transaction_id,transaction_date,revenue_amount,transaction_type,quantity,gross_amount,source_system
TX0000001,2024-08-02,5652.41,FEE,36.97,102229.89,IPERFORM
TX0000002,2024-08-06,4145.35,COMMISSION,42.02,76888.51,IPERFORM
TX0000003,2024-08-10,3792.31,TRAIL,49.48,43602.43,IPERFORM
TX0000004,2024-08-14,3776.94,INTEREST,51.62,84633.75,IPERFORM
TX0000005,2024-08-18,3129.14,FEE,2.88,26810.19,IPERFORM
TX0000006,2024-08-22,3846.09,COMMISSION,3.45,95550.1,IPERFORM
TX0000007,2024-08-26,4655.25,TRAIL,61.27,103519.88,IPERFORM
TX0000008,2024-08-03,3859.63,FEE,9.74,66455.99,IPERFORM
TX0000009,2024-08-07,4562.88,COMMISSION,8.9,80100.8,IPERFORM
TX0000010,2024-08-11,4307.36,TRAIL,66.8,43615.51,IPERFORM
TX0000011,2024-08-15,5226.35,INTEREST,76.18,57763.88,IPERFORM
TX0000012,2024-08-19,4857.34,FEE,14.63,119654.08,IPERFORM
TX0000013,2024-08-23,4409.21,COMMISSION,18.16,94593.7,IPERFORM
TX0000014,2024-08-27,3681.91,TRAIL,39.74,69059.21,IPERFORM
TX0000015,2024-08-04,5596.63,FEE,70.99,119890.27,IPERFORM
TX0000016,2024-08-08,4367.48,COMMISSION,20.14,93188.97,IPERFORM
TX0000017,2024-08-12,4154.88,TRAIL,69.07,52068.62,IPERFORM
TX0000018,2024-08-16,3977.72,INTEREST,76.65,88280.4,IPERFORM
TX0000019,2024-08-20,4149.89,FEE,75.66,46202.12,IPERFORM
TX0000020,2024-08-24,4945.79,COMMISSION,86.6,122874.76,IPERFORM
TX0000021,2024-08-28,5601.75,TRAIL,69.89,52793.2,IPERFORM
TX0000022,2024-08-01,5841.59,FEE,12.08,123232.38,IPERFORM
TX0000023,2024-08-05,4855.49,COMMISSION,97.26,101119.18,IPERFORM
TX0000024,2024-08-09,5585.13,TRAIL,14.17,112723.65,IPERFORM
TX0000025,2024-08-13,5119.47,INTEREST,59.13,83498.0,IPERFORM
TX0000026,2024-08-17,4106.67,FEE,48.6,47626.44,IPERFORM
TX0000027,2024-08-21,3958.12,COMMISSION,78.58,88944.1,IPERFORM
TX0000028,2024-08-25,5491.1,TRAIL,72.67,111989.35,IPERFORM
TX0000029,2024-08-02,5927.47,FEE,62.1,138731.09,IPERFORM
TX0000030,2024-08-06,6059.77,COMMISSION,77.44,119728.42,IPERFORM
TX0000031,2024-08-10,4840.1,TRAIL,27.25,43386.17,IPERFORM
TX0000032,2024-08-14,4445.64,INTEREST,43.22,63088.03,IPERFORM
TX0000033,2024-08-18,6042.79,FEE,65.17,98643.71,IPERFORM
TX0000034,2024-08-22,4370.61,COMMISSION,59.91,91065.77,IPERFORM
TX0000035,2024-08-26,3642.61,TRAIL,19.86,49755.89,IPERFORM
TX0000036,2024-08-03,3652.13,FEE,70.55,68743.79,IPERFORM
TX0000037,2024-08-07,4608.81,COMMISSION,51.63,82449.84,IPERFORM
TX0000038,2024-08-11,5665.2,TRAIL,6.95,133842.08,IPERFORM
TX0000039,2024-08-15,5803.82,INTEREST,27.54,80538.07,IPERFORM
TX0000040,2024-08-19,4953.46,FEE,46.53,63090.91,IPERFORM
TX0000041,2024-08-23,4873.86,COMMISSION,31.82,52615.82,IPERFORM
TX0000042,2024-08-27,4904.94,TRAIL,25.71,60986.66,IPERFORM
TX0000043,2024-08-04,5064.38,FEE,31.74,65464.5,IPERFORM
TX0000044,2024-08-08,4134.83,COMMISSION,81.92,79648.69,IPERFORM
TX0000045,2024-08-12,6421.44,TRAIL,51.05,120759.72,IPERFORM
TX0000046,2024-08-16,4938.45,INTEREST,18.08,82102.73,IPERFORM
TX0000047,2024-08-20,6254.47,FEE,58.54,62916.6,IPERFORM
TX0000048,2024-08-24,4117.3,COMMISSION,12.78,63974.95,IPERFORM
TX0000049,2024-08-28,5136.44,TRAIL,40.43,42262.82,IPERFORM
TX0000050,2024-08-01,5905.3,FEE,16.38,124994.96,IPERFORM
TX0000051,2024-08-05,5661.1,COMMISSION,42.88,128984.91,IPERFORM
